date,url,user,title,hasicorp
2023-08-15T21:40:09Z,https://github.com/hashicorp/terraform/issues/33692,gdavison,backend/s3: Supports retry mode,Y
2023-08-15T21:38:03Z,https://github.com/hashicorp/terraform/issues/33690,gdavison,backend/s3: Support overriding EC2 Metadata endpoint,Y
2023-08-15T21:04:36Z,https://github.com/hashicorp/terraform/issues/33689,gdavison,backend/s3: Add parameter `custom_ca_bundle`,Y
2023-08-15T20:56:00Z,https://github.com/hashicorp/terraform/issues/33688,gdavison,backend/s3: Add `allowed_account_ids` and `forbidden_account_ids` parameters,Y
2023-08-15T20:46:35Z,https://github.com/hashicorp/terraform/issues/33687,gdavison,backend/s3: Modernization tracking issue,Y
2023-08-15T20:43:52Z,https://github.com/hashicorp/terraform/issues/33686,gdavison,backend/s3: Allow specifying S3 Object using ARN,Y
2023-08-15T20:22:15Z,https://github.com/hashicorp/terraform/issues/33685,sknight-edgio,BSL/BUSL License,N
2023-08-15T05:26:47Z,https://github.com/hashicorp/terraform/issues/33682,diegosogari,Modules with no outputs have no exported `for_each` keys,N
2023-08-14T20:39:56Z,https://github.com/hashicorp/terraform/issues/33681,grimm26,terraform tries to destroy resource before removing it from a resource that depends on it,N
2023-08-14T10:37:56Z,https://github.com/hashicorp/terraform/issues/33680,vladimirtiukhtin,expand language around the use of `null` in various assignments,N
2023-08-14T09:54:04Z,https://github.com/hashicorp/terraform/issues/33676,liamcervante,`terraform test` crashes when referencing sensitive values in a condition,Y
2023-08-12T14:44:08Z,https://github.com/hashicorp/terraform/issues/33671,KenSpur,"Give better feedback when two ""moved"" blocks target the same resource instance address",N
2023-08-11T17:26:52Z,https://github.com/hashicorp/terraform/issues/33669,gdavison,backend/s3: Use `s3/manager` Uploader and Downloader for state file transfer,Y
2023-08-11T13:59:04Z,https://github.com/hashicorp/terraform/issues/33667,chayleaf,Repo description and some doc pages still say Terraform is open-source,N
2023-08-11T13:46:02Z,https://github.com/hashicorp/terraform/issues/33666,mateuszgalar,The 'cloudinit_config' is recreated when there are changes to unrelated resource arguments.,N
2023-08-11T05:29:55Z,https://github.com/hashicorp/terraform/issues/33664,sohanyadav,length  getting wrong count in,N
2023-08-11T04:28:08Z,https://github.com/hashicorp/terraform/issues/33663,JamesJJ,README still says MPL,N
2023-08-10T14:52:05Z,https://github.com/hashicorp/terraform/issues/33660,NYRangers30,Support Provider Differences in Modules,N
2023-08-10T13:40:39Z,https://github.com/hashicorp/terraform/issues/33659,kbcz1989,Failing to evaluate module outputs during destroy,N
2023-08-10T11:54:50Z,https://github.com/hashicorp/terraform/issues/33658,DKGreg,DevOps azuredevops_variable_group behaviour for version 1.4 onwards,N
2023-08-10T07:55:54Z,https://github.com/hashicorp/terraform/issues/33657,msartor92,Modules in Package Sub-directories space optimization,N
2023-08-10T03:02:30Z,https://github.com/hashicorp/terraform/issues/33655,seanturner026,New Function keylistmap(),N
,,,,
2023-08-09T10:07:40Z,https://github.com/hashicorp/terraform/issues/33651,istairbn,Azurerm backend: set lease duration,N
2023-08-08T22:41:54Z,https://github.com/hashicorp/terraform/issues/33654,garysassano,[Enhancement]: allow generating splitted iam role inline policy when importing an `aws_iam_role` using an `import` block,N
2023-08-08T17:38:21Z,https://github.com/hashicorp/terraform/issues/33649,tenstriker,GCP connector - Allow force_destroy on resources in apply stage,N
2023-08-08T01:33:42Z,https://github.com/hashicorp/terraform/issues/33644,joonhwa,AWS SSO new profile bug,N
2023-08-07T12:16:47Z,https://github.com/hashicorp/terraform/issues/33642,eshulman2,Allow excluding resources when using a destroy command,N
2023-08-07T10:39:38Z,https://github.com/hashicorp/terraform/issues/33641,gsped-guarnaccia,terraform does not load any *.auto.tfvars in current directory,N
2023-08-07T08:13:26Z,https://github.com/hashicorp/terraform/issues/33640,akumar-99,Destroy infrastructure ignoring specific resources,N
2023-08-07T08:06:43Z,https://github.com/hashicorp/terraform/issues/33639,mejuhi,Ability to pass terraform variable in backend prefix,N
2023-08-06T17:10:02Z,https://github.com/hashicorp/terraform/issues/33638,keivinonline,Setup and Implement Read tutorial - Wrong filename reference in code block,N
2023-08-05T21:57:05Z,https://github.com/hashicorp/terraform/issues/33637,cshea15,Provider produced inconsistent result after apply,N
2023-08-05T07:02:56Z,https://github.com/hashicorp/terraform/issues/33636,baynezy,`TF_WORKSPACE` environment variable seems partially ignored,N
2023-08-04T09:49:16Z,https://github.com/hashicorp/terraform/issues/33633,DJAlPee,"Plannable Import: Don't fail, but create resource, if not exist",N
2023-08-04T07:23:03Z,https://github.com/hashicorp/terraform/issues/33632,sankara911,Validation condition of a variable based on another variable,N
2023-08-03T06:49:20Z,https://github.com/hashicorp/terraform/issues/33627,borisyanev88,"""Build Infrastructure - Terraform Azure Example"" typo and resource name change",N
2023-08-02T20:49:48Z,https://github.com/hashicorp/terraform/issues/33626,drewmullen,`terraform test` expects variables from repo root when `module` reference is specified,N
2023-08-02T19:08:24Z,https://github.com/hashicorp/terraform/issues/33624,slushysnowman,Plannable Import: Support for_each,N
2023-08-02T10:58:34Z,https://github.com/hashicorp/terraform/issues/33622,voltagex,Unset variable in backend.tf causes crash,N
2023-08-01T18:18:43Z,https://github.com/hashicorp/terraform/issues/33620,gui-don,"Have a is_known_after_apply-like function to circumvent cannot apply ""known after apply"" issue",N
2023-08-01T17:48:53Z,https://github.com/hashicorp/terraform/issues/33619,scardena,Generate a list of least permissions required to provision a stack in a cloud,N
2023-08-01T12:25:00Z,https://github.com/hashicorp/terraform/issues/33617,ravinitp, Issue: Failure to detect changes in optional/computed field in any resource,N
2023-07-31T23:08:37Z,https://github.com/hashicorp/terraform/issues/33615,hoangnguyen92,Cannot network mirroring github.com,N
2023-07-31T16:58:06Z,https://github.com/hashicorp/terraform/issues/33613,joe-a-t,Moved block is not mentioned on documentation page about moving resources,N
2023-07-31T14:33:41Z,https://github.com/hashicorp/terraform/issues/33612,tobydoescode,Values for variables without defaults not being passed at destroy time with terraform test - only apply time,N
2023-07-31T10:23:30Z,https://github.com/hashicorp/terraform/issues/33610,DanielTeraSky,Don't validate lifecycle precondition on change,N
2023-07-31T10:22:46Z,https://github.com/hashicorp/terraform/issues/33609,FransUrbo,for_each dynamic statement check isn't working,N
2023-07-31T07:00:19Z,https://github.com/hashicorp/terraform/issues/33606,Ashish07Wiz,Terraform Crashed,N
2023-07-29T10:25:32Z,https://github.com/hashicorp/terraform/issues/33605,devurandom,s3 backend on DigitalOcean Spaces fails to initialize: Error refreshing state: NotImplemented: Server does not support one or more requested headers.,N
2023-07-28T20:23:35Z,https://github.com/hashicorp/terraform/issues/33603,gui-don,`tostring` documentation shows incorrect output,N
2023-07-28T01:30:40Z,https://github.com/hashicorp/terraform/issues/33600,bwmetcalf,Adding AWS cross account provider orphans resource,N
2023-07-27T23:18:38Z,https://github.com/hashicorp/terraform/issues/33599,sodul,.terraform.lock.hcl contains hashes for manifest.json files.,N
2023-07-27T09:01:36Z,https://github.com/hashicorp/terraform/issues/33597,chenzejun,Planable import get unexpected update action when import resource with sensitive datasource filed.,N
2023-07-27T08:13:45Z,https://github.com/hashicorp/terraform/issues/33596,henryAC3,"Error while loading schemas for plugin components: Failed to obtain provisioner schema: Could not load the schema for provisioner ""local_exec"": failed to instantiate provisioner ""local_exec"" to obtain schema: unavailable provisioner ""local_exec""..",N
2023-07-27T07:20:51Z,https://github.com/hashicorp/terraform/issues/33595,ghost,TERRAFORM CRASH,N
2023-07-27T07:06:20Z,https://github.com/hashicorp/terraform/issues/33594,dv-wataru-tatsuda,"[TYPO] the provider name is automatically changed as ""hashicorp/azruerm"", but it should be ""hashicorp/azurerm"".",N
2023-07-27T03:55:54Z,https://github.com/hashicorp/terraform/issues/33593,Maneesankar,EBS volumes tags,N
2023-07-26T20:46:38Z,https://github.com/hashicorp/terraform/issues/33591,reskin89,Count on Module with array length 1 does not get an index,N
2023-07-26T14:35:26Z,https://github.com/hashicorp/terraform/issues/33588,jakubtrebacz-dev,Terraform functions allowed at init,N
2023-07-26T12:31:24Z,https://github.com/hashicorp/terraform/issues/33586,drewmullen,`terraform test` crash when using `module.source`,N
2023-07-26T10:00:23Z,https://github.com/hashicorp/terraform/issues/33585,merlian2,AWS QuickSight Analysis issue - FILTER_ALL_VALUES should be valid,N
2023-07-26T07:31:36Z,https://github.com/hashicorp/terraform/issues/33582,liamcervante,Terraform test framework isn't discovering test files that are deeply nested,Y
2023-07-25T19:11:53Z,https://github.com/hashicorp/terraform/issues/33579,Baburaju01,terraform-provider-cloudad_v0.1.0 plugin issue,N
2023-07-25T13:17:08Z,https://github.com/hashicorp/terraform/issues/33577,SameepSB,Azure Linux VM build fails using custom image from image gallery,N
2023-07-25T10:00:57Z,https://github.com/hashicorp/terraform/issues/33575,dosilyoun,Invalid AWS Region: eu-central-2 coming from Terraform CLI,N
2023-07-25T09:43:27Z,https://github.com/hashicorp/terraform/issues/33574,karthiknaren,Terraform aws_kinesis_stream unable to switch from OnDemand to PROVISIONED,N
2023-07-25T09:39:14Z,https://github.com/hashicorp/terraform/issues/33573,ravar17,"create Single GCP Dashboard per consumer id,",N
2023-07-25T06:46:01Z,https://github.com/hashicorp/terraform/issues/33572,tristanmorgan,Terraform crash during import with check defined,N
2023-07-24T22:27:41Z,https://github.com/hashicorp/terraform/issues/33570,asaba-hashi,Reject or warn about additional attributes during object type conversion,N
2023-07-24T22:15:45Z,https://github.com/hashicorp/terraform/issues/33569,juicybaba,Side bar doesnt show the correct version for Terraform Enterprise v202307-1 (722),N
2023-07-24T19:40:08Z,https://github.com/hashicorp/terraform/issues/33568,sdhonju,AttributeTypes on non-object Type goroutine 649,N
2023-07-24T13:29:21Z,https://github.com/hashicorp/terraform/issues/33567,addyb77,Terraform crash v1.1.0,N
2023-07-23T06:29:35Z,https://github.com/hashicorp/terraform/issues/33565,falco2202,Don't show output when use terraform module ,N
2023-07-21T14:24:28Z,https://github.com/hashicorp/terraform/issues/33562,samar-elsayed,data source depending on another,N
2023-07-20T07:37:03Z,https://github.com/hashicorp/terraform/issues/33555,kbcz1989,"Crashing with dynamic block named ""dynamic""",N
2023-07-20T06:17:06Z,https://github.com/hashicorp/terraform/issues/33552,shettypriy,Unable to import in terraform version 1.4.6,N
2023-07-20T01:35:48Z,https://github.com/hashicorp/terraform/issues/33551,deitch,github.com/hashicorp/terraform/states/statefile is internal; is there another library surface to read statefiles?,N
2023-07-19T18:36:53Z,https://github.com/hashicorp/terraform/issues/33550,hmlanigan,grpc client panic with nil resource schema,N
2023-07-19T12:27:10Z,https://github.com/hashicorp/terraform/issues/33549,karthickradhakrishnan,"panic: interface conversion: interface {} is nil, not map[string]interface {}",N
2023-07-19T11:11:03Z,https://github.com/hashicorp/terraform/issues/33548,GloriaSam,Adding 'principals' to BigQuery data policy via 'google_bigquery_datapolicy_data_policy_iam*' resources not working,N
2023-07-19T07:54:19Z,https://github.com/hashicorp/terraform/issues/33545,pieter-jangoeman,Azure Windows function app says every name I choose is incorrect,N
2023-07-18T21:36:56Z,https://github.com/hashicorp/terraform/issues/33544,kderck,Terraform outputs sensitive information when using import block as comment,N
2023-07-18T13:37:09Z,https://github.com/hashicorp/terraform/issues/33541,MrImpossibru,Impossible to use Private Modules Registry if it uses url subpath,N
2023-07-18T13:33:35Z,https://github.com/hashicorp/terraform/issues/33540,njlr,Automatically recycle resources that are due to be deleted,N
2023-07-18T09:43:57Z,https://github.com/hashicorp/terraform/issues/33539,EvaDonnermayer,"Azurerm_netapp_volume_group_sap_hana volume security style ""unix"" forces replacement",N
2023-07-18T04:01:24Z,https://github.com/hashicorp/terraform/issues/33538,bloudraak,Provide a function to get the week number for a given timestamp,N
2023-07-17T22:14:44Z,https://github.com/hashicorp/terraform/issues/33537,jasontfox,Plannable Import switch to ignore if resource doesn't exist,N
2023-07-17T21:29:54Z,https://github.com/hashicorp/terraform/issues/33536,Yiranwu,`local_file` that creates files upon `terraform plan`?,N
2023-07-17T15:58:06Z,https://github.com/hashicorp/terraform/issues/33533,gravitylow,Support for running terraform in time-constrained execution environments,N
2023-07-15T02:01:29Z,https://github.com/hashicorp/terraform/issues/33530,thomasgouveia,Add a `create_namespace` attribute to the Kubernetes backend configuration,N
2023-07-14T12:35:37Z,https://github.com/hashicorp/terraform/issues/33526,HEMANTHKUMAR689,Terraform plugins are loaded into the RAM/pod memory if they have been cached either during runtime or after the pod starts.,N
2023-07-14T07:10:43Z,https://github.com/hashicorp/terraform/issues/33524,athirumalairaja,"problem with provisioner ""connection"" - Windows Vm in vsphere - added in domain",N
