DATE,PR,USER,TITLE,EMPLOYEE
2023-09-11T10:20:12Z,https://github.com/hashicorp/terraform/pull/33863,l-with,Gunzipbase64,N
2023-09-11T09:54:01Z,https://github.com/hashicorp/terraform/pull/33861,liamcervante,Add additional validation around unknown and null values in test variables,Y
2023-09-09T10:29:46Z,https://github.com/hashicorp/terraform/pull/33856,joaocc,nonsensitive: no longer produces error when applied to nonsensitive values,N
2023-09-09T06:06:26Z,https://github.com/hashicorp/terraform/pull/33855,teamterraform,Backport of Explicitely disallow duplicate run block names in test files into v1.6,Y
2023-09-09T05:49:13Z,https://github.com/hashicorp/terraform/pull/33854,teamterraform,Backport of Reserve state and plan keywords in test files into v1.6,Y
2023-09-08T22:51:18Z,https://github.com/hashicorp/terraform/pull/33853,teamterraform,Backport of backend/s3: Improves bare error messages from API responses into v1.6,Y
2023-09-08T20:32:58Z,https://github.com/hashicorp/terraform/pull/33852,teamterraform,Backport of backend/s3: Restore HTTP request/response logging into v1.6,Y
2023-09-08T19:37:27Z,https://github.com/hashicorp/terraform/pull/33851,gdavison,backend/s3: Improves bare error messages from API responses,Y
2023-09-08T19:00:40Z,https://github.com/hashicorp/terraform/pull/33850,gdavison,backend/s3: Restore HTTP request/response logging,Y
2023-09-08T17:58:10Z,https://github.com/hashicorp/terraform/pull/33849,teamterraform,Backport of Make the test command fail if resources could not be cleaned up into v1.6,Y
2023-09-08T17:45:21Z,https://github.com/hashicorp/terraform/pull/33848,teamterraform,Backport of Refactor file and run block feedback frequency into v1.6,Y
2023-09-08T08:44:18Z,https://github.com/hashicorp/terraform/pull/33846,liamcervante,Reserve state and plan keywords in test files,Y
2023-09-07T20:47:33Z,https://github.com/hashicorp/terraform/pull/33844,brandonc,cloud: don't update snapshot interval unless response is from tfe.v2,Y
2023-09-07T20:40:02Z,https://github.com/hashicorp/terraform/pull/33843,teamterraform,Backport of backend/s3: Use Transfer Managers to speed up transfers of large state files into v1.6,Y
